,Gen Adv Loss,Gen Cyc Loss,Gen Total Loss,Dis Total Loss
0,1.3973819670646683,0.43469101908618707,5.744292145344748,0.18274856684431592
1,1.5699912331251702,0.37527658137431275,5.322757050935139,0.13949443468216385
2,1.5803660883832333,0.3437192140738847,5.017558238145385,0.12257939368200454
3,1.611461094320456,0.3254164158027055,4.865625255397642,0.11404499771403097
4,1.6671442497513695,0.31237944102744813,4.790938669684599,0.0898159083161654
5,1.7089907078346465,0.30572242351737355,4.766214943643826,0.08012320628679638
6,1.6801577537044534,0.3010449020593151,4.690606767943165,0.09903897214005751
7,1.7342157428706888,0.2963481940059011,4.697697682167167,0.06762284416157299
8,1.753625192494789,0.2938702019420006,4.692327215727459,0.07040074886257715
9,1.7658119519382143,0.29069387620446013,4.672750711949395,0.06839417194379672
10,1.7643895647419032,0.2864650990535964,4.62904055286318,0.0717078170884075
11,1.7939661525205763,0.2848440748033747,4.64240689775837,0.059763636388408856
12,1.7804668259773173,0.2822996174602875,4.603463004138678,0.0698467404492247
13,1.819350725806344,0.2799773838347209,4.619124555384427,0.04907378457041819
14,1.8291745752668076,0.2791797941300406,4.62097251593177,0.05302974632951115
15,1.8161731566955794,0.2778984377506191,4.595157527211887,0.058356059238568805
16,1.8437224598581603,0.2771065192563193,4.614787645685647,0.04859666738397023
17,1.8199171734008708,0.27515540791472903,4.57147124733752,0.06558922786059092
18,1.8374097850531148,0.2748713728461438,4.586123512243665,0.04830172837876689
19,1.8471036046298581,0.2762314544430674,4.609418139528873,0.04908429842783825
20,1.8159657576953425,0.27494308403305917,4.5653966118786125,0.07058900522429552
21,1.8324830778626238,0.2749552809988766,4.582035900941536,0.043488105306270786
22,1.836878783413088,0.2746900238080828,4.583779015266565,0.06440354347514954
23,1.8223767097570749,0.2724317849190759,4.546694551195417,0.045123070003842115
24,1.8539994596672464,0.27411806659657817,4.5951801337667115,0.04569552406501859
25,1.8579820498728803,0.274682752803953,4.604809579564564,0.04549142116231959
26,1.8239265957366684,0.27323875568314654,4.556314135919502,0.0757208440436928
27,1.8533905556461197,0.2729842423248901,4.58323297266767,0.04257565650191388
28,1.8717817800131433,0.27423532996604694,4.614135069633598,0.03993207511744265
29,1.8795269265103696,0.2744695647184783,4.624222571407554,0.0418610408612247
