,Gen Adv Loss,Gen Cyc Loss,Gen Total Loss,Dis Total Loss
0,1.7682088189033558,0.4752149615269988,6.52035842775536,0.07331589578009491
1,1.3251037320602677,0.2275450582316181,3.600554306624032,0.1631376703601402
2,1.5501632433710322,0.18451773221177586,3.3953405661877794,0.10778122071200597
3,1.5364011163904723,0.16854999200113294,3.221901039070666,0.11424022861746455
4,1.6612537498794384,0.16050061952076486,3.2662599407025237,0.08377493909601845
5,1.6941555316514298,0.15498202003395634,3.243975727797063,0.07009867636729152
6,1.709507724242424,0.1502472068518718,3.211979791807976,0.07277852110366133
7,1.775521289819339,0.1478005321358821,3.2535266134022143,0.05661182318017808
8,1.7636514592018209,0.14650247555805931,3.2286762199930545,0.0624447892636442
9,1.7640134848511295,0.14735323197043526,3.2375458039200384,0.055174590658340884
10,1.7962102891285536,0.14571106900919728,3.253320984240534,0.05466015386119136
11,1.799609323554456,0.14549175060507077,3.254526824585156,0.05531276553781874
12,1.8551180934600993,0.1473089195390754,3.3282072894862975,0.045387660722131094
13,1.7985851909560182,0.14977424996875244,3.296327686004801,0.05117427096612799
14,1.8898517237797474,0.14809488284308264,3.3708005485249988,0.03211314766518851
15,1.8559013334418666,0.14821697110687493,3.3380710427949167,0.044155547178900446
16,1.764751703754417,0.148695884482947,3.2517105455337556,0.07149631165460482
17,1.850787180064838,0.1462501907018202,3.313289085685063,0.042338455473182046
18,1.8802589234004397,0.14609406977447112,3.3411996191752746,0.03995063811488974
19,1.857214614145283,0.1464686765154796,3.3219013834304647,0.04328342930459455
20,1.9185505477604328,0.14930594707729974,3.411610018215708,0.022850621841164796
21,1.85254339660917,0.14991940526184497,3.351737449418253,0.04796792953503507
22,1.8544460884543623,0.15049417221597008,3.3593878064836775,0.04645143766929187
